Property reference number,Ratepayer,Address,Postcode,Latitude,Longitude,Liability start date,Current Analysis Code Description,Rateable value,Current Relief Type,Current Relief Type Description,Current Relief Award Start Date,Current Relief Award End Date,Current Property Exemption Code,Current Prop Exemption Description,Current Prop Exemption Start Date,Current Prop Exemption End Date
09680000091N,Tavirno Limited,"Titan Business Centre, Suite 43, Central Arcade, Cleckheaton, BD19 5DN",BD19 5DN,53.72416,-1.71300,2013-03-01,Office (Excluding Central & Local Gov'T),940,,,,,FFF,Less Than 1500/1900/2200/2600,01/03/2013,
09680000077N,Tavirno Limited,"Store 17, Titan Business Centre, Central Arcade, Cleckheaton, BD19 5DN",BD19 5DN,53.72416,-1.71300,2014-11-01,Office (Excluding Central & Local Gov'T),1175,,,,,FFF,Less Than 1500/1900/2200/2600,01/11/2014,
09680000093N,Tavirno Limited,"Suite 27, Titan Business Center, Central Arcade, Cleckheaton, BD19 5DN",BD19 5DN,53.72416,-1.71300,2015-04-24,Office (Excluding Central & Local Gov'T),1925,,,,,FFF,Less Than 1500/1900/2200/2600,24/04/2015,
09680000085N,Tavirno Limited,"Titan Business Centre, Suite 37, Central Arcade, Cleckheaton, BD19 5DN",BD19 5DN,53.72416,-1.71300,2016-01-01,Office (Excluding Central & Local Gov'T),590,,,,,FFF,Less Than 1500/1900/2200/2600,01/01/2016,
09680000067N,Tavirno Limited,"Suite 7, Titan Business Centre, Central Arcade, Cleckheaton, BD19 5DN",BD19 5DN,53.72416,-1.71300,2016-11-01,Office (Excluding Central & Local Gov'T),1650,,,,,FFF,Less Than 1500/1900/2200/2600,01/11/2016,
09680000061N,Tavirno Limited,"Suite 1, Titan Business Centre, Central Arcade, Cleckheaton, BD19 5DN",BD19 5DN,53.72416,-1.71300,2017-02-14,Office (Excluding Central & Local Gov'T),1725,,,,,FFF,Less Than 1500/1900/2200/2600,14/02/2017,
04880000786N,Tavirno Limited,"Suite 7, Park House Business Centre, Bradford Road, Birstall, Batley, WF17 9PH",WF17 9PH,53.73096,-1.66525,2017-03-31,Office (Excluding Central & Local Gov'T),1600,,,,,FFF,Less Than 1500/1900/2200/2600,31/03/2017,
09680000064N,Tavirno Limited,"Suite 4, Titan Business Centre, Central Arcade, Cleckheaton, BD19 5DN",BD19 5DN,53.72416,-1.71300,2017-09-16,Office (Excluding Central & Local Gov'T),1850,,,,,FFF,Less Than 1500/1900/2200/2600,16/09/2017,
09680000065N,Tavirno Limited,"Suite 5, Titan Business Centre, Central Arcade, Cleckheaton, BD19 5DN",BD19 5DN,53.72416,-1.71300,2018-05-21,Office (Excluding Central & Local Gov'T),2100,,,,,FFF,Less Than 1500/1900/2200/2600,21/05/2018,
09680000076N,Tavirno Limited,"Store 10, Titan Buisiness Centre, Central Arcade, Cleckheaton, BD19 5DN",BD19 5DN,53.72416,-1.71300,2018-07-01,Office (Excluding Central & Local Gov'T),820,,,,,FFF,Less Than 1500/1900/2200/2600,01/07/2018,
09680000088N,Tavirno Limited,"Titan Business Centre, Suite 40, Central Arcade, Cleckheaton, BD19 5DN",BD19 5DN,53.72416,-1.71300,2018-11-01,Office (Excluding Central & Local Gov'T),990,,,,,FFF,Less Than 1500/1900/2200/2600,01/11/2018,
09680000084N,Tavirno Limited,"Suite 36, Titan Business Centre, Central Arcade, Cleckheaton, BD19 5DN",BD19 5DN,53.72416,-1.71300,2018-11-30,Office (Excluding Central & Local Gov'T),590,,,,,FFF,Less Than 1500/1900/2200/2600,30/11/2018,
04880000761N,Tavirno Ltd,"Suite 21, Park House Business Centre, Bradford Road, Birstall, Batley, WF17 9PH",WF17 9PH,53.73096,-1.66525,2017-08-24,Office (Excluding Central & Local Gov'T),2500,,,,,FFF,Less Than 1500/1900/2200/2600,24/08/2017,
64440000311N,,"Gnd Flr, 31, Wharf Street, Savle Town, Dewsbury, WF12 9AT",WF12 9AT,53.68556,-1.62997,2017-02-06,Shops,1825,SBRE,Small Business Relief England,2017-02-06,,,,,
00340000030N,Taylor & Lodge (Huddersfield) Limited,"Rashcliffe Mills, Albert Street, Lockwood, Huddersfield, HD1 3PE",HD1 3PE,53.63863,-1.78660,2014-04-01,Factories,52000,,,,,,,,
00340000080N,Taylor & Lodge (Huddersfield) Limited,"_, Albert Street, Lockwood, Huddersfield, HD1 3PE",HD1 3PE,53.63863,-1.78660,2014-04-01,Car Parks & Parking Spaces,2000,,,,,,,,
54830000071N,Taylor Barron Ltd T/A Martin & Co Huddersfield,"7, St Peters Street, Huddersfield, HD1 1DL",HD1 1DL,53.64811,-1.78233,2009-09-15,Shops,9200,,,,,,,,
54830000090N,Taylor Barron Ltd T/A Martin & Co Huddersfield,"9, St Peters Street, Huddersfield, HD1 1DL",HD1 1DL,53.64811,-1.78233,2017-06-15,Shops,7500,,,,,,,,
33050000250N,Taylor Bros (Body Repairs) Ltd,"_, Liley Lane, Hopton, Mirfield, WF14 8EE",WF14 8EE,53.65182,-1.69080,1990-04-01,Vehicle Repair Workshop,4700,SBRE,Small Business Relief England,2005-04-01,,,,,
32600004990N,Taylor Bros Ltd,"Triton Works, Leeds Road, Huddersfield, HD2 1YH",HD2 1YH,53.66007,-1.76390,1990-04-01,Factories,29750,,,,,,,,
37290100013N,Taylor Computer Solutions Limited,"Unit D8, Meltham Mills Ind. Estate, Meltham Mills Road, Meltham Holmfirth, HD9 4AR",HD9 4AR,53.59210,-1.83802,2013-03-01,Warehouses,4850,SBRE,Small Business Relief England,2013-03-01,,,,,
64270000190N,Taylor Hughes Hairdressing Ltd,"Heaton House, 19, Westgate, Honley, Holmfirth, HD9 6AA",HD9 6AA,53.60362,-1.79273,2009-05-01,Hairdressing Salons,11500,SBRE,Small Business Relief England,2009-05-12,,,,,
22150600001N,Taylor Smith Fabrications Ltd,"Unit 3, Quantum House, Mill Forest Way, Batley, WF17 6DS",WF17 6DS,53.70900,-1.61009,2016-11-01,Warehouses,53000,,,,,,,,
12540090030N,Taylor Stud Welding Systems Limited,"_, Commercial Road, Dewsbury, WF13 2BD",WF13 2BD,53.69550,-1.63240,1992-08-03,Warehouses,14000,SBRE,Small Business Relief England,2005-04-01,,,,,
86050900020N,Taylor Wimpey (Uk) Ltd,"2, Farriers Way, Lindley, Huddersfield, HD3 3GG",HD3 3GG,53.66355,-1.84002,2016-11-11,Other Commercial,9800,,,,,,,,
86050900040N,Taylor Wimpey (Uk) Ltd,"4, Farriers Way, Lindley, Huddersfield, HD3 3GG",HD3 3GG,53.66355,-1.84002,2016-11-16,Other Commercial,16500,,,,,,,,
86050900060N,Taylor Wimpey (Uk) Ltd,"Sales Office, 6, Farriers Way, Lindley, Huddersfield, HD3 3GG",HD3 3GG,53.66355,-1.84002,2016-11-16,Other Commercial,4650,,,,,,,,
04220000040N,Taytrans Limited,"Bent Ley Farm, Bent Ley Road, Meltham, Holmfirth, HD9 4AP",HD9 4AP,53.59747,-1.83347,2004-10-11,Warehouses,35000,,,,,,,,
55330000084N,Tcb Direct Limited,"Unit 8l & 9l, Ponderosa Business Park, Smithies Lane, Heckmondwike, WF16 0PR",WF16 0PR,53.70052,-1.67124,2017-11-20,Business Unit,10750,SBRE,Small Business Relief England,2017-12-02,,,,,
28670001170N,Td100 Ltd,"117, Huddersfield Road, Mirfield, WF14 9DA",WF14 9DA,53.67655,-1.70244,2013-11-04,Car Showroom,34000,,,,,,,,
39580070061N,Tdg Ltd T/A Xpo Logistics,"Cafe, Nab Lane, Birstall, Batley, WF17 9NH",WF17 9NH,53.73798,-1.64673,2016-04-08,Cafes,2550,,,,,,,,
57070000010N,Tdw Services Ltd,"1, Sykes Street, Cleckheaton, BD19 5HA",BD19 5HA,53.72371,-1.71734,2002-04-01,Office (Excluding Central & Local Gov'T),6800,SBRE,Small Business Relief England,2005-04-01,,,,,
50090300079N,Team Ensign Limited,"Unit Md9, Skelmanthorpe Business Park, Savile Road, Skelmanthorpe Huddersfield, HD8 9ED",HD8 9ED,53.59431,-1.65000,2018-04-01,Stores,6300,SBRE,Small Business Relief England,2018-04-01,,,,,
59920000800N,Team O A Ltd,"Unit 8, Gledholt Siding Business Park, Allen Row, Huddersfield, HD1 4RR",HD1 4RR,53.64302,-1.79978,2016-12-01,Warehouses,4200,SBRE,Small Business Relief England,2016-12-01,,,,,
28630202169N,Team Spirit Promotions Ltd,"Unit H/Gf, Bridge Mills, Huddersfield Road, Holmfirth, HD9 2JS",HD9 2JS,53.56916,-1.78964,2008-02-01,Stores,1725,SBRE,Small Business Relief England,2008-04-01,,,,,
21220000050N,Tech Teach Ltd,"7, George Street, Kirkburton, Huddersfield, HD8 0SF",HD8 0SF,53.60954,-1.70210,2013-06-08,Office (Excluding Central & Local Gov'T),2850,SBRE,Small Business Relief England,2013-06-08,,,,,
69760101000N,Technibuild (Northern) Ltd,"Unit 10, Denard Industrial Estate, Tanyard Road, Milnsbridge Huddersfield, HD3 4NB",HD3 4NB,53.63912,-1.82238,2018-07-01,Warehouses,4650,SBRE,Small Business Relief England,2018-07-01,,,,,
28810000013N,Technical Retail Service Limited,"Unit 1, Scandanavia Court, Chain Bar Road, Cleckheaton, BD19 3QW",BD19 3QW,53.73310,-1.71967,2016-10-10,Warehouses,14750,,,,,,,,
28810000014N,Technical Retail Service Limited,"Unit 2 Scandanavia Court, Chain Bar Road, Cleckheaton, BD19 3QW",BD19 3QW,53.73310,-1.71967,2018-10-14,Warehouses,10250,,,,,,,,
28810000060N,Technical Services (Uk) Limited,"Unit 6 Scandinavia Court, Chain Bar Road, Cleckheaton, BD19 3QW",BD19 3QW,53.73310,-1.71967,2011-04-15,Workshops,51000,,,,,,,,
27620000061N,Techniques (Holmfirth) Limited,"6/8, Hollowgate, Holmfirth, HD9 2DG",HD9 2DG,53.56939,-1.78778,2010-04-01,Shops,4550,SBRE,Small Business Relief England,2010-04-01,,,,,
41550100050N,Technology For Shared Transport Ltd,"Unit G5, Kirklees Media Centre, 7 Northumberland Street, Huddersfield, HD1 1RL",HD1 1RL,53.64930,-1.78047,2014-10-01,Office (Excluding Central & Local Gov'T),1625,SBRE,Small Business Relief England,2014-10-01,,,,,
28890000168N,Technoparts Electrical Ltd,"Unit 39 Holme Bank Mills, Hurst Lane, WF14 8NA",WF14 8NA,53.66908,-1.68857,2012-12-03,Warehouses,22000,,,,,,,,
28671600032N,Techserv Cutting Systems Limited,"Unit 2, Perseverance Mills, Huddersfield Road, Mirfield, WF14 9DL",WF14 9DL,53.67976,-1.71220,2013-03-12,Workshops,26750,,,,,,,,
03060001980N,Techwill Ltd,"198, Barnsley Road, Denby Dale, Huddersfield, HD8 8TS",HD8 8TS,53.56855,-1.65512,1997-06-01,Workshops,7300,SBRE,Small Business Relief England,2005-04-01,,,,,
34560000102N,Tectre Ltd,"Office First Floor Right Hand Side, The Scout Hall, Lyndhurst Road, Lindley, Huddersfield, HD3 3HZ",HD3 3HZ,53.65705,-1.82163,2015-02-15,Office (Excluding Central & Local Gov'T),4000,SBRE,Small Business Relief England,2015-02-15,,,,,
47720000171N,Telecom Itm West Yorks,"Unit 17, Queens Square Business Park, Huddersfield Road, Honley Holmfirth, HD9 2QZ",HD9 2QZ,53.56867,-1.78682,2007-04-01,Office (Excluding Central & Local Gov'T),1525,SBRE,Small Business Relief England,2008-04-01,,,,,
46670000304N,Telecomiq Ltd & Bulk Sms Ltd,"Pt 1st Floor Office, Turnbridge Mills, Quay Street, Huddersfield, HD1 6QT",HD1 6QT,53.64810,-1.77580,2017-11-01,Office (Excluding Central & Local Gov'T),10500,SBRE,Small Business Relief England,2017-11-01,,,,,
46270100006N,Telecommunications Mast H 3g Uk Ltd,"Telecommunications Mast H 3g Uk Ltd, Heritage Road, Batley, WF17 0HG",WF17 0HG,53.71803,-1.63411,2003-10-30,Communication Station And Premises,7100,,,,,TCM,Inactive Telecommunication Masts,01/04/2011,
03290010400N,Telefonica Uk Limited,"Telecoms Mast Ref 1706, Blenheim Drive, Batley Field Hill, Batley, WF17 0BJ",WF17 0BJ,53.72045,-1.63502,1995-09-22,Communication Station And Premises,13000,,,,,,,,
19090001100N,Telefonica Uk Limited,"Telecommunications Mast Site Ref 1750, Almondbury High School, Fernside Avenue, Almondbury, Huddersfield, HD5 8PG",HD5 8PG,53.63990,-1.74648,1996-02-01,Communication Station And Premises,12000,,,,,,,,
80010002000N,Telefonica Uk Limited,"Site No 4881, Drighlington Bypass, Drighlington, Bradford, BD11 1NE",BD11 1NE,53.76510,-1.64608,1999-02-01,Communication Station And Premises,9700,,,,,,,,
14740001000N,Telefonica Uk Limited,"Telecommunication Mast Site Ref 3897, 230, Cumberworth Lane, Denby Dale, Huddersfield, HD8 8PR",HD8 8PR,53.57927,-1.66372,1995-04-01,Communication Station And Premises,14000,,,,,,,,
28770000100N,Telefonica Uk Limited,"Bt Cellnet Site 2011, Scar Hole Lane, New Mill, Holmfirth, HD8 8YE",HD8 8YE,53.56041,-1.73435,1999-04-01,Communication Station And Premises,9800,,,,,,,,
23950600111N,Telefonica Uk Limited,"Telecommunication Mast Site Ref 16491, Halifax Road, Staincliffe, Dewsbury, WF13 4AP",WF13 4AP,53.70542,-1.65291,2001-07-25,Communication Station And Premises,7400,,,,,,,,
01380500055N,Telefonica Uk Limited,"Telecommunications Mast Site No 1751, Ashbrow Mills, Ashbrow Road, Sheepridge, Huddersfield, HD2 1DF",HD2 1DF,53.66797,-1.77368,2001-04-01,Communication Station And Premises,13000,,,,,,,,
37650100139N,Telefonica Uk Limited,"Telecommunication Mast Site Ref 15388, Savile Business Centre, Mill Street East, Dewsbury, WF12 9AH",WF12 9AH,53.68588,-1.62796,2003-06-01,Communication Station And Premises,13000,,,,,,,,
73290001001N,Telefonica Uk Limited,"Telecommunications Mast, Site 12375, Wellands Lane, Scholes, Cleckheaton, BD19 6AW",BD19 6AW,53.72229,-1.73150,2003-04-02,Communication Station And Premises,7500,,,,,,,,
52310000182N,Telefonica Uk Limited,"Telecommunication Mast Site Ref 16446, Adj Chimney, Providence Works, Smithies Moor Lane, Birstall, Batley, WF17 9AR",WF17 9AR,53.72659,-1.65980,2005-04-01,Communication Station And Premises,12750,,,,,,,,
67750000330N,Telefonica Uk Limited,"Telecommunications Mast, Site 11821, Bay Hall Common Road, Birkby, Huddersfield, HD1 5EP",HD1 5EP,53.65793,-1.78868,2005-04-01,Communication Station And Premises,12000,,,,,,,,
08410001002N,Telefonica Uk Limited,"Telecommunication Mast Site Ref 34551, Roof Of Switch House, Calder Road, Ravensthorpe, Dewsbury, WF13 3JS",WF13 3JS,53.67883,-1.66099,2005-11-01,Communication Station And Premises,12000,,,,,,,,
06160002002N,Telefonica Uk Limited,"Telecommunications Mast, O2 Site 34556, Bretton Street, Dewsbury, WF12 9BJ",WF12 9BJ,53.67643,-1.62494,2005-12-01,Communication Station And Premises,7500,,,,,,,,
72060000000N,Telefonica Uk Limited,"Telecommunications Mast O2 Site 12502, Oakwell Way, Birstall, Batley, WF17 9LU",WF17 9LU,53.74200,-1.64846,2006-02-08,Communication Station And Premises,5500,,,,,,,,
29780000100N,Telefonica Uk Limited,"Telecommunication Mast, Jenny Lane, Mirfield, WF14 0BB",WF14 0BB,53.68832,-1.69062,2006-10-01,Communication Station And Premises,4550,,,,,,,,
09040000013N,Telefonica Uk Limited,"Telecommunications Mast Site Ref 4553, Carr Street, Littletown, Liversedge, WF15 6EE",WF15 6EE,53.71449,-1.69392,2006-09-01,Communication Station And Premises,12250,,,,,,,,
22010003301N,Telefonica Uk Limited,"Telecommunication Mast Site Ref 2966, Greenfield Road, Holmfirth, HD9 3XF",HD9 3XF,53.57045,-1.83945,2006-04-01,Communication Station And Premises,6300,,,,,,,,
14750000071N,Telefonica Uk Limited,"Telecommunication Mast Site Ref 4994, Cumberworth Road, Skelmanthorpe, Huddersfield, HD8 9AB",HD8 9AB,53.58986,-1.65731,2006-04-01,Communication Station And Premises,13000,,,,,,,,
34970000722N,Telefonica Uk Limited,"Telecommunications Mast, Site Ref 15722, Lower Quarry Road, Bradley, Huddersfield, HD5 0RR",HD5 0RR,53.68219,-1.73680,2005-04-01,Communication Station And Premises,12000,,,,,,,,
40200000149N,Telefonica Uk Limited,"Telecommunications Mast, Site Ref 149, New Hey Road, Fixby, Huddersfield, HD2 2EJ",HD2 2EJ,53.67346,-1.81747,2005-04-01,Communication Station And Premises,8700,,,,,,,,
06650000822N,Telefonica Uk Limited,"Telecommunications Mast, Site Ref 11822, Broad Lane, Dalton, Huddersfield, HD5 9BX",HD5 9BX,53.64555,-1.76121,2005-04-01,Communication Station And Premises,12000,,,,,,,,
55390000181N,Telefonica Uk Limited,"Telecommunications Mast, Site Ref 3898, Station Road, Stocksmoor, Huddersfield, HD4 6XN",HD4 6XN,53.59393,-1.72408,2006-03-31,Communication Station And Premises,6800,,,,,,,,
47110000016N,Telefonica Uk Limited,"Telecommunications Mast, Site Ref 18249, Ramsden Street, Huddersfield, HD1 2TH",HD1 2TH,53.64450,-1.78265,2005-04-01,Communication Station And Premises,12500,,,,,,,,
51520000814N,Telefonica Uk Limited,"Telecommunications Mast, Site Ref 15714, Shepherds Thorn Lane, Bradley, Huddersfield, HD2 1PT",HD2 1PT,53.68019,-1.76800,2005-04-01,Communication Station And Premises,7900,,,,,,,,
12720002001N,Telefonica Uk Limited,"Telecommunication Mast Site Ref 2965, Moor Lane, Farnley Tyas, Huddersfield, HD4 6UW",HD4 6UW,53.60542,-1.75601,2005-04-01,Communication Station And Premises,7000,,,,,,,,
29860001546N,Telefonica Uk Limited,"Telecommunication Mast Site Ref 5546, Jill Lane, Mirfield, WF14 0DR",WF14 0DR,53.68899,-1.67313,2005-04-01,Communication Station And Premises,7300,,,,,,,,
65950000000N,Telefonica Uk Limited,"O2 (39512) Se1819ne, Tib Netherend Farm, Wood Lane, Colnebridge, Huddersfield, HD5 0PX",HD5 0PX,53.67814,-1.71537,2008-04-01,Communication Station And Premises,6600,,,,,,,,
20180000083N,Telefonica Uk Limited,"O2 (36830) Rooftop, Ratcliffe Mills, Forge Lane, Thornhill Lees Dewsbury, WF12 9BU",WF12 9BU,53.67713,-1.63949,2005-04-01,Communication Station And Premises,13000,,,,,,,,
10980000645N,Telefonica Uk Limited,"Telecommunications Mast, Site Ref 18717, Church Street, Paddock, Huddersfield, HD1 4UD",HD1 4UD,53.64321,-1.80901,2009-04-01,Communication Station And Premises,13000,,,,,,,,
64450000261N,Telefonica Uk Limited,"Mast At Wheatley Hill Farm, Wheatley Hill Lane, Clayton West, Near Huddersfield, HD8 9LG",HD8 9LG,53.58278,-1.61951,2009-04-01,Communication Station And Premises,6000,,,,,,,,
37200000502N,Telefonica Uk Limited,"O2 (37469) On Rhs Lane To Sports Centre, Mean Lane, Meltham, Holmfirth, HD9 5QT",HD9 5QT,53.59724,-1.84808,2009-04-01,Communication Station And Premises,6700,,,,,,,,
15610010010N,Telefonica Uk Limited,"., Deighton Road, Deighton, Huddersfield, HD2 1JW",HD2 1JW,53.67102,-1.76177,2010-05-01,Communication Station And Premises,4950,,,,,,,,
23840001000N,Telefonica Uk Limited,"O2 (41604) Streetworks Site, Opp & West Of 286, Halifax Old Road, Huddersfield, HD2 2SP",HD2 2SP,53.66450,-1.79755,2010-07-30,Communication Station And Premises,4000,,,,,,,,
39610000700N,Telefonica Uk Limited,"O2 (43006) Streetworks Site Nr 1, Sunningdale Road, Nabcroft Lane, Crosland Moor, Huddersfield, HD4 5EP",HD4 5EP,53.63447,-1.80557,2010-12-01,Communication Station And Premises,4100,,,,,,,,
52650100049N,Telefonica Uk Limited,"(14806) At Rooftop Of, Woodroyd Mills, South Parade, Cleckheaton, BD19 3AF",BD19 3AF,53.72537,-1.72498,2010-12-01,Communication Station And Premises,12000,,,,,,,,
27640002005N,Telefonica Uk Limited,"O2 (36829) At Kirkheaton Cricket & Bowling Club, Bankfield Lane, Kirkheaton, Huddersfield, HD5 0JW",HD5 0JW,53.65655,-1.73095,2011-08-11,Communication Station And Premises,5600,,,,,,,,
42230000361N,Telefonica Uk Limited,"Telecommunication Mast Site Ref 43004, Lindley Liberal Club, 36, Occupation Road, Lindley, Huddersfield, HD3 3AZ",HD3 3AZ,53.65677,-1.81434,2012-06-01,Communication Station And Premises,14250,,,,,,,,
35130001099N,Telefonica Uk Limited,"Land, Lowerhouses Lane, Lowerhouses , Huddersfield, HD5 8JZ",HD5 8JZ,53.63372,-1.76597,2013-04-01,Communication Station And Premises,4300,,,,,,,,
32550001386N,Telefonica Uk Limited,"O2 (45493) Rooftop, Leeds Road, Birstall, Batley, WF17 0HH",WF17 0HH,53.73471,-1.64902,2012-02-22,Communication Station And Premises,12000,,,,,,,,
22450000502N,Telefonica Uk Limited,"O2 (40134), Green Balk Lane, Lepton, Huddersfield, HD8 0EW",HD8 0EW,53.63139,-1.69985,2010-04-01,Communication Station And Premises,6400,,,,,,,,
56100000000N,Telefonica Uk Limited,"O2(48421) Christ Church New Mill, Sude Hill, New Mill, Holmfirth, HD9 7DR",HD9 7DR,53.57553,-1.74930,2012-01-26,Communication Station And Premises,12000,,,,,,,,
52980000112N,Telefonica Uk Limited,"O2 (41571) Rooftop, 11-15, Beast Market, Huddersfield, HD1 1QF",HD1 1QF,53.64768,-1.77969,2010-07-14,Communication Station And Premises,12000,,,,,,,,
17320000000N,Telefonica Uk Limited,"O2 (33941) Rooftop Gledholt Methodist Church, Edgerton Grove Road, Huddersfield, HD1 5QX",HD1 5QX,53.65190,-1.80083,2010-04-01,Communication Station And Premises,12000,,,,,,,,
24510000200,Telefonica Uk Limited,"O2 (42994) Rooftop Dalton Baptist Church, Harpe Inge, Dalton, Huddersfield, HD5 9RD",HD5 9RD,53.65146,-1.75407,2012-01-13,Communication Station And Premises,12000,,,,,,,,
36410900020N,Telefonica Uk Limited,"O2 (37847) Rooftop, 2, Market Street, Huddersfield, HD1 2NE",HD1 2NE,53.64413,-1.78536,2010-04-01,Communication Station And Premises,12000,,,,,,,,
74810000000N,Telefonica Uk Limited,"O2 (41598) Rooftop Ramsden Court, Milford Street, Huddersfield, HD1 3DY",HD1 3DY,53.64088,-1.78385,2011-11-02,Communication Station And Premises,12000,,,,,,,,
39920001810N,Telefonica Uk Limited,"O2 (43002), 181, Netheroyd Hill Road, Huddersfield, HD2 2NG",HD2 2NG,53.66776,-1.79157,2010-12-17,Communication Station And Premises,5800,,,,,,,,
05850100011N,Telefonica Uk Limited,"Telecommunications Mast, Keldregate Traffic Island, Bradley Road, Huddersfield, HD2 1QT",HD2 1QT,53.68276,-1.74738,2016-08-01,Cable Communication System,4750,,,,,,,,
36910000010N,Telefonica Uk Limited,"Telecommunication Mast, Ctil 206035, Mayman Lane, Batley, WF17 5RA",WF17 5RA,53.71375,-1.63968,2017-02-04,Communication Station And Premises,4950,,,,,,,,
60120002011N,Telefonica Uk Limited,"Telecommunication Mast 205711, Croftlands Care Home, 6, Turnshaw Road, Kirkburton, HD8 0TH",HD8 0TH,53.61204,-1.69798,2017-02-01,Communication Station And Premises,6700,,,,,,,,
70160000020N,Telefonica Uk Limited,"Telecommunications Mast, Upper Waterside Farm, Royd Lane, Holmbridge, Holmfirth, HD9 2BA",HD9 2BA,53.55861,-1.80530,2017-11-01,Communication Station And Premises,6400,,,,,,,,
30660100006N,Telefonica Uk Limited,"Unit 6 Kingsgate Centre, King Street, Huddersfield, HD1 2QB",HD1 2QB,53.64593,-1.77911,2018-01-08,Shops,70500,,,,,,,,
32890002270N,Telefonica Uk Ltd & Vodafone Ltd,"227, Leymoor Road, Golcar, Huddersfield, HD7 4QP",HD7 4QP,53.64468,-1.84838,2013-10-01,Communication Station And Premises,12000,,,,,,,,
50090300010N,Tellen Ltd,"Unit A, Croft Head Business Park, Dale Street, Skelmanthorpe, Near Huddersfield, HD8 9EB",HD8 9EB,53.59354,-1.65010,2018-04-01,Office (Excluding Central & Local Gov'T),7500,SBRE,Small Business Relief England,2018-04-01,,,,,
62010800016N,Tellima Technology Ltd,"Units 1f & 1g, Denby Dale Business Park, Wakefield Road, Denby Dale Huddersfield, HD8 8QH",HD8 8QH,53.57218,-1.66098,1995-11-13,Office (Excluding Central & Local Gov'T),18500,,,,,,,,
21140000283N,Telworth Llp,"Britannia Mills, Gelderd Road, Birstall, Batley, WF17 9QD",WF17 9QD,53.73502,-1.65660,2016-05-06,Warehouses,6800,SBRE,Small Business Relief England,2016-05-06,,,,,
69510000460N,Temple Retail Ltd - In Admin,"46/8, Princess Of Wales Precnt, Dewsbury, WF13 1NH",WF13 1NH,53.69045,-1.62873,2011-09-09,Shops,90000,,,,,GGG,Personal rep / liquidator,05/07/2018,31/03/2019
45240000052N,Temporis Limited,"Unit 17a, Heritage Exchange, Wellington Mills, Plover Road, Huddersfield, HD3 3HR",HD3 3HR,53.65440,-1.82574,2016-11-01,Office (Excluding Central & Local Gov'T),11500,SBRE,Small Business Relief England,2016-11-01,,,,,
62010001016N,Tenable Business Support Limited,"Suite 16 Gf, Westleigh House, Wakefield Road, Denby Dale, Huddersfield, HD8 8QJ",HD8 8QJ,53.57192,-1.66360,2013-07-01,Office (Excluding Central & Local Gov'T),6200,SBRE,Small Business Relief England,2013-07-01,,,,,
21140800030N,Tennants Distribution Limited,"Industrial Estate, Gelderd Road, Birstall, Batley, WF17 9NF",WF17 9NF,53.73973,-1.65048,1990-04-01,Warehouses,115000,,,,,,,,
55730005001N,,"Stonefield Garage, Stonefield Street, Moorside, Cleckheaton, BD19 6LF",BD19 6LF,53.71767,-1.73849,1990-04-01,Garage,2125,SBRE,Small Business Relief England,2005-04-01,,,,,
65000003381N,,"Near 338, Whitehall Road, Wyke, Bradford, BD12 9DP",BD12 9DP,53.73422,-1.75768,1990-04-01,Stores,152,SBRE,Small Business Relief England,2010-04-01,,,,,
25190000054N,,"Unit 18d, Heath House Mills, Heath House, Golcar, Huddersfield, HD7 4JW",HD7 4JW,53.63696,-1.86433,2016-04-01,Warehouses,1875,SBRE,Small Business Relief England,2016-04-01,,,,,
26170000883N,,"88a, High Street, Heckmondwike, WF16 0AJ",WF16 0AJ,53.70869,-1.66634,1993-06-01,Workshops,2900,SBRE,Small Business Relief England,2005-04-01,,,,,
40440100019N,,"Heckmondwike Trade Centre, Unit 5, New North Road, Heckmondwike, WF16 9DP",WF16 9DP,53.71165,-1.67627,2004-04-01,Warehouses,3400,SBRE,Small Business Relief England,2007-04-01,,,,,
82770011125N,Termrim Construction Ltd,"1. Pellon Place, Dyson Wood Way, Bradley, HD2 1GT",HD2 1GT,53.67857,-1.76630,2013-02-28,Office (Excluding Central & Local Gov'T),50000,,,,,,,,
25460090100N,,"Stanton Works, Heaton Street, Cleckheaton, BD19 3TN",BD19 3TN,53.73014,-1.71971,2015-11-20,Workshops,9100,EPRI,Empty Property Rate Industrial,2016-05-20,,,,,
84780000043N,,"Stall 4, Dewsbury Market , Cloth Hall Street, Dewsbury, WF13 1QE",WF13 1QE,53.69289,-1.62788,2011-01-26,Other Commercial,3150,SBRE,Small Business Relief England,2011-01-26,,,,,
62110500161N,,"Unit 18c, Nortonthorpe Mills, Wakefield Road, Scissett, HD8 9FB",HD8 9FB,53.58682,-1.62808,2018-11-12,Workshops,5500,,,,,,,,
33660000291N,,"Unit 29, Lock Street, Savile Town, Dewsbury, WF12 9BZ",WF12 9BZ,53.67463,-1.62251,2011-04-01,Workshops,2425,SBRE,Small Business Relief England,2011-04-01,,,,,
09770000272N,,"Unit 23, Butt End Mills, Chadwick Fold Lane, Mirfield, WF14 8PW",WF14 8PW,53.67240,-1.69872,2006-12-01,Workshops,4800,SBRE,Small Business Relief England,2007-04-01,,,,,
28680002000N,,"_, Huddersfield Road, New Mill, Holmfirth, HD9 7JU",HD9 7JU,53.57629,-1.75446,1990-04-01,Hairdressing Salons,1675,SBRE,Small Business Relief England,2005-04-01,,,,,
