Property reference number,BA reference number,Address,Postcode,Latitude,Longitude,Liability start date,Rateable value,VOA code,VOA description
N08013459010,010003029826,"Unit 1, Ripon Small Shops, Duck Hill, Ripon, North Yorkshire, HG4 1BL",HG4 1BL,54.13517,-1.52292,2018-02-01,6200,CR1,Cafe and Premises
N08014209010,,"Elm Road, Ripon, North Yorkshire, HG4 2PE",HG4 2PE,54.12466,-1.53072,2017-07-12,18250,CS,SHOP AND PREMISES
N08014800030,100050425563,"3, Finkle Street, Ripon, North Yorkshire, HG4 1LA",HG4 1LA,54.13763,-1.52274,2005-04-01,5600,CS,SHOP AND PREMISES
N08014800041,100052009725,"4, Finkle Street, Ripon, North Yorkshire, HG4 1LA",HG4 1LA,54.13763,-1.52274,2003-04-01,20000,MH,DENTAL SURGERY AND PREMISES
N08014800042,010003029827,"Part First Floor, 4, Finkle Street, Ripon, North Yorkshire, HG4 1LA",HG4 1LA,54.13763,-1.52274,1997-04-01,2550,CO,WORKROOMS
N08014800110,100052184131,"11, Finkle Street, Ripon, North Yorkshire, HG4 1LA",HG4 1LA,54.13763,-1.52274,2003-04-16,6800,CS,SHOP AND PREMISES
N08014809011,100052184132,"R/O, 1, Finkle Street, Ripon, North Yorkshire, HG4 1LA",HG4 1LA,54.13763,-1.52274,1995-04-01,22000,IX,SORTING OFFICE
N08014809012,100052009146,"1, Finkle Street, Ripon, North Yorkshire, HG4 1LA",HG4 1LA,54.13763,-1.52274,2014-02-14,14750,CS6,POST OFFICE AND PREMISES
N08015009020,100052210325,"Ripon & District Hospital, Firby Lane, Ripon, North Yorkshire, HG4 2PP",HG4 2PP,54.13582,-1.52754,2013-04-01,44750,MH2,Hospital and Premises
N08015400010,100052184133,"1/3, Fishergate, Ripon, North Yorkshire, HG4 1EA",HG4 1EA,54.13717,-1.5236,1995-04-01,12000,CS,SHOP AND PREMISES
N08015400025,100052009587,"2, Fishergate, Ripon, North Yorkshire, HG4 1DY",HG4 1DY,54.1371,-1.52393,2008-10-10,19750,CS,Shop and Premises
N08015400043,100052009719,"4, Fishergate, Ripon, North Yorkshire, HG4 1DY",HG4 1DY,54.1371,-1.52393,2013-04-29,37750,CS,SHOP AND PREMISES
N08015400058,,"9, Fishergate, Ripon, North Yorkshire, HG4 1EA",HG4 1EA,54.13717,-1.5236,2013-06-14,10250,CS,Shop and Premises
N08015400060,100052009588,"6/8, Fishergate, Ripon, North Yorkshire, HG4 1DY",HG4 1DY,54.1371,-1.52393,1995-04-01,66000,CS,SHOP AND PREMISES
N08015400071,,"5, Fishergate, Ripon, North Yorkshire, HG4 1EA",HG4 1EA,54.13717,-1.5236,2014-08-01,7100,CS,Shop and Premises
N08015400073,,"7, Fishergate, Ripon, North Yorkshire, HG4 1EA",HG4 1EA,54.13717,-1.5236,2017-01-31,8000,CS,Shop abnd Premises
N08015400074,,"7a, Fishergate, Ripon, North Yorkshire, HG4 1EA",HG4 1EA,54.13717,-1.5236,2014-03-03,4950,CO,Offices and Premises
N08015400100,100052009589,"10, Fishergate, Ripon, North Yorkshire, HG4 1DY",HG4 1DY,54.1371,-1.52393,2014-04-01,17500,CO,OFFICES AND PREMISES
N08015400110,100052009594,"11, Fishergate, Ripon, North Yorkshire, HG4 1EA",HG4 1EA,54.13717,-1.5236,1997-03-14,20000,CS,OFFICES AND PREMISES
N08015400120,100052009590,"12, Fishergate, Ripon, North Yorkshire, HG4 1DY",HG4 1DY,54.1371,-1.52393,1995-04-01,15500,CS,SHOP AND PREMISES
N08015400130,100052009595,"13, Fishergate, Ripon, North Yorkshire, HG4 1EA",HG4 1EA,54.13717,-1.5236,2013-08-09,12250,CS,SHOP AND PREMISES
N08015400150,100052009596,"15, Fishergate, Ripon, North Yorkshire, HG4 1EA",HG4 1EA,54.13717,-1.5236,1995-04-01,10500,CS1,OFFICES AND PREMISES
N08015400160,100052009149,"16, Fishergate, Ripon, North Yorkshire, HG4 1DY",HG4 1DY,54.1371,-1.52393,2009-11-02,69000,CS,SHOP AND PREMISES
N08015400180,100052009591,"18, Fishergate, Ripon, North Yorkshire, HG4 1DY",HG4 1DY,54.1371,-1.52393,2004-11-19,21000,CS,Shop and Premises
N08015400202,,"20, Fishergate, Ripon, North Yorkshire, HG4 1DX",HG4 1DX,54.13746,-1.52369,2019-04-01,27750,CS,Shop and Premises
N08015400203,,"85a, North Street, Ripon, HG4 1DP",HG4 1DP,54.13801,-1.52385,2009-07-16,11000,CS,Shop and Premises
N08015609003,,"Units 1/2, H W Baines Industrial Estate, Fishergreen, Ripon, North Yorkshire, HG4 1NN",HG4 1NN,54.13248,-1.51325,2010-04-01,6500,IF3,Workshop and Premises
N08015609006,,"Unit 6, H W Baines Industrial Estate, Fishergreen, Ripon, North Yorkshire, HG4 1NN",HG4 1NN,54.13248,-1.51325,2017-07-01,2175,CW,Warehouse and Premises
N08015609030,,"Unit 3, H W Baines Industrial Estate, Fishergreen, Ripon, North Yorkshire, HG4 1NN",HG4 1NN,54.13248,-1.51325,2013-02-22,3750,CW,Warehouse and Premises
N08015609040,,"Unit 4, H W Baines Industrial Estate, Fishergreen, Ripon, North Yorkshire, HG4 1NN",HG4 1NN,54.13248,-1.51325,2011-07-01,3700,CW,Warehouse and Premises
N08015609050,,"Unit 5, H W Baines Industrial Estate, Fishergreen, Ripon, North Yorkshire, HG4 1NN",HG4 1NN,54.13248,-1.51325,2005-04-01,3150,CW,Warehouse and Premises
N08015609070,,"Unit 7, H W Baines Industrial Estate, Fishergreen, Ripon, North Yorkshire, HG4 1NN",HG4 1NN,54.13248,-1.51325,2009-01-09,4150,CW,Warehouse and Premises
N08015609081,100052210326,"Unit 8, H W Baines Industrial Estate, Fishergreen, Ripon, North Yorkshire, HG4 1NL",HG4 1NL,54.13274,-1.51065,2000-04-01,3250,IF3,WORKSHOP AND PREMISES
N08015609091,100052210327,"Unit 9, H W Baines, Fishergreen, Ripon, North Yorkshire, HG4 1NL",HG4 1NL,54.13274,-1.51065,2012-12-01,3000,CW3,store & premises
N08015609101,100052210328,"Unit 10, H W Baines Industrial Estate, Fishergreen, Ripon, North Yorkshire, HG4 1NN",HG4 1NN,54.13248,-1.51325,2017-12-05,3450,CW3,STORE AND PREMISES
N08015609114,,"Unit 11, H W Baines Ind Est, Fishergreen, Ripon, North Yorkshire, HG4 1NN",HG4 1NN,54.13248,-1.51325,2011-07-07,5300,IF3,Workshop and Premises
N08015609122,,"Units 12 & 13, H W Baines Industrial Estate, Fishergreen, Ripon, North Yorkshire, HG4 1NN",HG4 1NN,54.13248,-1.51325,2005-04-01,4400,CG1,Vehicle Repair Workshop and Premises
N08015609150,100052210334,"Adj Skellcross Lane, Fishergreen, Ripon, North Yorkshire, HG4 1NL",HG4 1NL,54.13274,-1.51065,1995-04-01,7800,IF3,WORKSHOP AND PREMISES
N08015609190,100052210335,"Adj, Skellcross House, Fishergreen, Ripon, North Yorkshire, HG4 1NL",HG4 1NL,54.13274,-1.51065,1998-08-04,1600,CW3,STORE AND PREMISES
N08015609191,010003038153,"Unit 1, Fishergreen, Ripon, North Yorkshire, HG4 1NL",HG4 1NL,54.13274,-1.51065,2001-08-01,11250,IF3,WORKSHOP AND PREMISES
N08015609260,010003029837,"Sewage Disposal Works, Fishergreen, Ripon, North Yorkshire, HG4 1NL",HG4 1NL,54.13274,-1.51065,1995-04-01,203000,NW,SEWAGE TREATMENT WORKS & PREMISES
N08015609272,,"Unit 2, The Old Laundry, Fishergreen, Ripon, North Yorkshire, HG4 1NL",HG4 1NL,54.13274,-1.51065,2013-11-18,2850,IF3,Workshop And Premises
N08015609273,,"Unit 3, The Old Laundry, Fishergreen, Ripon, HG4 1NL",HG4 1NL,54.13274,-1.51065,2010-02-12,4600,IF3,Workshop And Premises
N08015609274,,"Unit 4, The Old Laundry, Fishergreen, Ripon, HG4 1NL",HG4 1NL,54.13274,-1.51065,2008-08-08,3850,IF3,Workshop And Premises
N08015609280,,"Midland Gratings (Northern) Ltd, Fishergreen, Ripon, HG4 1NN",HG4 1NN,54.13248,-1.51325,2000-04-01,3900,CO,Offices and Premises
N08015609286,,"Auto Prive Ltd, Fishergreen, Ripon, HG4 1NN",HG4 1NN,54.13248,-1.51325,2017-08-04,4700,CO,Offices and Premises
N08015609288,,"Unit 1, H W Baines Ltd , Fishergreen, Ripon, HG4 1NN",HG4 1NN,54.13248,-1.51325,2015-07-11,2400,IF3,Workshop and Premises
N08015609289,,"Unit 2, H W Baines Ltd, Fishergreen, Ripon, HG4 1NN",HG4 1NN,54.13248,-1.51325,2015-07-11,2800,CW,Warehouse and Premises
N08015609291,,"Unit 3, H W Baines Ltd, Fishergreen, Ripon, HG4 1NN",HG4 1NN,54.13248,-1.51325,2015-07-11,2650,CW,Warehouse and Premises
N08017200320,100052184136,"32, Harrogate Road, Ripon, HG4 1SR",HG4 1SR,54.13078,-1.52838,2013-05-01,34000,CG3,Car Showroom and Premises
N08017200610,100050425899,"South Lodge Hotel, 61, Harrogate Road, Ripon, HG4 1ST",HG4 1ST,54.12919,-1.52749,2014-05-29,23000,CL,Public House and Premises
N08017200630,100052184137,"63, Harrogate Road, Ripon, HG4 1ST",HG4 1ST,54.12919,-1.52749,1990-04-01,2225,IF3,GARAGE
N08017201100,,"Acorn Veterinary Clinic, 110a, Harrogate Road, Ripon, HG4 2SD",HG4 2SD,54.12092,-1.52663,2016-11-01,4000,CX,Veterinary Surgery and Premises
N08017209011,010003029839,"Atm(Filling Station), Quarry Moor Garage, Harrogate Road, Ripon, HG4 2SD",HG4 2SD,54.12092,-1.52663,2006-08-11,1300,CX,Site of Atm and Premises
N08017209013,010003029840,"Filling Station/Shop, Quarry Moor Garage, Harrogate Road, Ripon, HG4 2SD",HG4 2SD,54.12092,-1.52663,2001-09-03,57500,CG,Petrol Filling Station and Premises
N08017209014,010003029841,"Macdonalds, Quarry Moor, Harrogate Road, Ripon, HG4 2SD",HG4 2SD,54.12092,-1.52663,2016-10-30,68500,CR,RESTAURANT AND PREMISES
N08017209031,100052210344,"Moorside County Infants School, Harrogate Road, Ripon, HG4 1SU",HG4 1SU,54.12789,-1.52815,1998-07-01,24250,EL,SCHOOL & PREMISES
N08017209040,100052210345,"Quarry Moor Activity Centre, Harrogate Road, Ripon, HG4 2SD",HG4 2SD,54.12092,-1.52663,1995-04-01,2225,LC,COMMUNITY CENTRE
N08017600340,100052009206,"34, Heckler Lane, Ripon, North Yorkshire, HG4 1PU",HG4 1PU,54.13262,-1.52415,1999-03-01,2075,CS3,HAIRDRESSING SALON AND PREMISES
N08018000010,100052184138,"Thorpe Prebend House, 2-5, High St Agnesgate, Ripon, North Yorkshire, HG4 1QR",HG4 1QR,54.1341,-1.51903,2000-07-01,3000,EM1,Museum and Premises
N08018000011,010003034610,"1a, High St Agnesgate, Ripon, North Yorkshire, HG4 1QR",HG4 1QR,54.1341,-1.51903,1995-04-01,1025,LC1,CLUBHOUSE AND PREMISES
N08018200031,100052009299,"3, High Skellgate, Ripon, HG4 1BA",HG4 1BA,54.13556,-1.52506,2001-02-14,8400,CS,SHOP AND PREMISES
N08018200040,100052009741,"4, High Skellgate, Ripon, HG4 1BD",HG4 1BD,54.13556,-1.5248,2010-06-25,9300,CS,SHOP AND PREMISES
N08018200072,100052009300,"6/7, High Skellgate, Ripon, HG4 1BA",HG4 1BA,54.13556,-1.52506,2016-07-11,6400,CR1,CAFE AND PREMISES
N08018200080,100052009692,"8, High Skellgate, Ripon, HG4 1BA",HG4 1BA,54.13556,-1.52506,2019-02-01,4300,CR1,Cafe and Premises
N08018200090,100050426076,"Lamb & Flag Inn, 9, High Skellgate, Ripon, HG4 1BA",HG4 1BA,54.13556,-1.52506,2017-02-07,22300,CL,PUBLIC HOUSE AND PREMISES
N08018200111,100052009297,"11, High Skellgate, Ripon, HG4 1BA",HG4 1BA,54.13556,-1.52506,2016-04-01,9500,CS,SHOP AND PREMISES
N08018200120,100052009331,"12, High Skellgate, Ripon, HG4 1BA",HG4 1BA,54.13556,-1.52506,2014-09-30,5800,CS,Shop and Premises
N08018200121,100052009331,"First Floor, 12, High Skellgate, Ripon, HG4 1BA",HG4 1BA,54.13556,-1.52506,2016-03-04,4350,CO,OFFICES AND PREMISES
N08018200131,,"13/13a, High Skellgate, Ripon, HG4 1BA",HG4 1BA,54.13556,-1.52506,2012-03-17,6500,CH1,Self Catering Holiday Units and Premises
N08018200141,100052009298,"14, High Skellgate, Ripon, HG4 1BA",HG4 1BA,54.13556,-1.52506,2006-03-21,5300,CS3,Hairdressing salon & premises
N08018200171,100052009302,"17, High Skellgate, Ripon, HG4 1BD",HG4 1BD,54.13556,-1.5248,2018-06-15,8100,CS,Offices and premises (assessed as a  shop so keeps CS code)
N08018200180,100052009303,"18, High Skellgate, Ripon, HG4 1BD",HG4 1BD,54.13556,-1.5248,1995-04-01,8700,CS,RESTAURANT AND PREMISES
N08018200194,100052009304,"19, High Skellgate, Ripon, HG4 1BD",HG4 1BD,54.13556,-1.5248,2010-07-16,4450,CS,SHOP AND PREMISES
N08018200200,100052009702,"20, High Skellgate, Ripon, HG4 1BD",HG4 1BD,54.13556,-1.5248,2015-01-09,5200,CS,SHOP AND PREMISES
N08018200223,,"Ground Floor, 22, High Skellgate, Ripon, HG4 1BD",HG4 1BD,54.13556,-1.5248,2017-04-01,11500,CS,Shop and Premises
N08018200224,,"First Floor, 22, High Skellgate, Ripon, HG4 1BD",HG4 1BD,54.13556,-1.5248,2017-07-01,3650,CO,Offices and Premises
N08018200230,100052009306,"23, High Skellgate, Ripon, HG4 1BD",HG4 1BD,54.13556,-1.5248,1995-09-17,11500,CS3,Hairdressing salon and premises
N08018200231,100052009307,"24, High Skellgate, Ripon, HG4 1BD",HG4 1BD,54.13556,-1.5248,2015-04-17,5800,CS,SHOP AND PREMISES
N08018208010,010003029843,"1, Fishers Court, Ripon, North Yorkshire, HG4 1BB",HG4 1BB,54.1354,-1.52542,2016-04-01,2225,CS,SHOP AND PREMISES
N08018208025,,"J Welbourn Ltd, Fishers Court, Ripon, North Yorkshire, HG4 1BB",HG4 1BB,54.1354,-1.52542,2016-04-01,1050,CG2,GARAGE AND PREMISES
N08019409021,010003029844,"Ripon Trailer Centre, North Road, Ripon, North Yorkshire, HG4 5DT",HG4 5DT,54.14848,-1.5038,2006-02-01,7200,CW,WAREHOUSE AND PREMISES
N08019409050,010003029846,"Ripon Land Rover, Hutton Bank, Ripon, North Yorkshire, HG4 5DR",HG4 5DR,54.14672,-1.50805,2000-11-16,153000,CG3,Car Showroom and Premises
N08021400070,100052184144,"7, King Street, Ripon, North Yorkshire, HG4 1PJ",HG4 1PJ,54.13371,-1.52214,2015-03-01,2175,CS,SHOP AND PREMISES
N08022200341,100050426658,"34, Kirkby Road, Ripon, North Yorkshire, HG4 2HF",HG4 2HF,54.14177,-1.53656,1995-04-01,4350,MC,CEMETERY AND PREMISES
N08022209020,010003029848,"Livery, Gooseberry Farm, Kirkby Road, Ripon, North Yorkshire, HG4 2RF",HG4 2RF,54.14475,-1.54396,1997-04-01,260,LX,LIVERY STABLE AND PREMISES
N08022209050,,"Snow Close  Farm, Kirkby Road, Ripon, North Yorkshire, HG4 2QZ",HG4 2QZ,54.14376,-1.53861,2007-03-28,6100,LX,Livery Stables
N08022400010,100052009273,"1, Kirkgate, Ripon, North Yorkshire, HG4 1BA",HG4 1BA,54.13556,-1.52506,2009-05-01,8500,CS,SHOP AND PREMISES
N08022400020,100052009716,"2, Kirkgate, Ripon, North Yorkshire, HG4 1PA",HG4 1PA,54.13516,-1.52234,2016-11-14,25750,CS,Shop and Premises
N08022400021,100050426710,"2a, Kirkgate, Ripon, North Yorkshire, HG4 1PA",HG4 1PA,54.13516,-1.52234,2016-04-01,14000,CR,Restaurant and Premises
N08022400030,100050426711,"3, Kirkgate, Ripon, North Yorkshire, HG4 1PA",HG4 1PA,54.13516,-1.52234,1995-04-01,4200,CS,SHOP AND PREMISES
N08022400045,,"4, Kirkgate, Ripon, North Yorkshire, HG4 1PB",HG4 1PB,54.13544,-1.52241,2014-05-16,9200,CO,Offices and Premises
N08022400047,,"4a, Kirkgate, Ripon, North Yorkshire, HG4 1PB",HG4 1PB,54.13544,-1.52241,2017-05-19,5900,CO,Offices and Premises
N08022400050,100052009701,"Oasis Florists, 5, Kirkgate, Ripon, North Yorkshire, HG4 1PA",HG4 1PA,54.13516,-1.52234,2015-11-01,5000,CS,Shop and Premises
N08022400051,100052009418,"5a, Kirkgate, Ripon, North Yorkshire, HG4 1PA",HG4 1PA,54.13516,-1.52234,2016-05-12,4350,CS,SHOP AND PREMISES
N08022400052,100052009701,"5, Kirkgate, Ripon, North Yorkshire, HG4 1PA",HG4 1PA,54.13516,-1.52234,2009-01-13,6000,CS,SHOP AND PREMISES
N08022400060,100052009274,"6, Kirkgate, Ripon, North Yorkshire, HG4 1PA",HG4 1PA,54.13516,-1.52234,1998-10-13,5300,CS,SHOP AND PREMISES
N08022400070,100052009697,"7, Kirkgate, Ripon, North Yorkshire, HG4 1PA",HG4 1PA,54.13516,-1.52234,2018-12-02,4800,CS,SHOP AND PREMISES
N08022400082,010003029849,"Ground Floor Rear + First Floor, 8, Kirkgate, Ripon, North Yorkshire, HG4 1PA",HG4 1PA,54.13516,-1.52234,1995-04-01,4200,CW3,STORE AND PREMISES
N08022400091,,"8/9, Kirkgate, Ripon, North Yorkshire, HG4 1PA",HG4 1PA,54.13516,-1.52234,2018-02-06,18500,CS,Shop and Premises
N08022400123,,"12 , Kirkgate, Ripon, North Yorkshire, HG4 1PA",HG4 1PA,54.13516,-1.52234,2016-10-01,3800,CS,SHOP AND PREMISES
N08022400131,,"13 , Kirkgate, Ripon, North Yorkshire, HG4 1PA",HG4 1PA,54.13516,-1.52234,2016-10-01,7200,CS,SHOP AND PREMISES
N08022400140,100052009535,"14/15, Kirkgate, Ripon, North Yorkshire, HG4 1PA",HG4 1PA,54.13516,-1.52234,2016-05-27,4350,CS,SHOP TEA ROOM AND PREMISES
N08022400160,100052009721,"16, Kirkgate, Ripon, North Yorkshire, HG4 1PA",HG4 1PA,54.13516,-1.52234,2004-04-01,5700,CS,SHOP AND PREMISES
N08022400170,100052009536,"17, Kirkgate, Ripon, North Yorkshire, HG4 1PA",HG4 1PA,54.13516,-1.52234,1995-04-01,3900,CL2,CLUB AND PREMISES
N08022400190,100052009537,"19, Kirkgate, Ripon, North Yorkshire, HG4 1PA",HG4 1PA,54.13516,-1.52234,2016-07-01,6700,CS,Shop and Premises
N08022400250,,"26, Kirkgate, Ripon, North Yorkshire, HG4 1PB",HG4 1PB,54.13544,-1.52241,2018-02-08,13750,CS,SHOP AND PREMISES
N08022400254,,"23/25, Kirkgate, Ripon, North Yorkshire, HG4 1PB",HG4 1PB,54.13544,-1.52241,2017-12-01,18000,CR1,Cafe and Premises
N08022400270,100050426721,"Twenty Seven, 27, Kirkgate, Ripon, North Yorkshire, HG4 1PB",HG4 1PB,54.13544,-1.52241,2004-03-09,12000,CR,Restaurant and Premises
N08022400280,100052009275,"28, Kirkgate, Ripon, North Yorkshire, HG4 1PB",HG4 1PB,54.13544,-1.52241,2010-03-01,6700,CS,SHOP AND PREMISES
N08022400291,010003035644,"29/30, Kirkgate, Ripon, North Yorkshire, HG4  1PB",HG4  1PB,54.13544,-1.52241,2017-03-02,9500,CR1,Cafe and Premises
N08022400310,100052009577,"Alexander House, 31, Kirkgate, Ripon, North Yorkshire, HG4 1PB",HG4 1PB,54.13544,-1.52241,2014-07-18,4800,CS,SHOP AND PREMISES
N08022400321,100050426725,"32, Kirkgate, Ripon, North Yorkshire, HG4 1PB",HG4 1PB,54.13544,-1.52241,2018-03-29,7300,CS,Shop and Premises
N08022400330,100052009276,"33, Kirkgate, Ripon, North Yorkshire, HG4 1PB",HG4 1PB,54.13544,-1.52241,1995-04-01,11750,CR,RESTAURANT AND PREMISES
N08022400340,100050426726,"David Stead Gallery, 34, Kirkgate, Ripon, North Yorkshire, HG4 1PB",HG4 1PB,54.13544,-1.52241,2012-04-26,5800,CS,SHOP AND PREMISES
N08022400350,100050426727,"35, Kirkgate, Ripon, North Yorkshire, HG4 1PA",HG4 1PA,54.13516,-1.52234,2010-01-14,4750,CS,SHOP AND PREMISES
N08022400360,100050426728,"Royal Oak Hotel, 36, Kirkgate, Ripon, North Yorkshire, HG4 1PB",HG4 1PB,54.13544,-1.52241,2013-07-12,59750,CL,PUBLIC HOUSE AND PREMISES
N08022400380,100052009578,"38, Kirkgate, Ripon, North Yorkshire, HG4 1PB",HG4 1PB,54.13544,-1.52241,2016-07-16,9100,CS,SHOP AND PREMISES
N08022400381,100052184150,"38a, Kirkgate, Ripon, North Yorkshire, HG4 1PB",HG4 1PB,54.13544,-1.52241,1995-04-01,11750,CO,OFFICES AND PREMISES
N08022400392,100052009337,"39, Kirkgate, Ripon, North Yorkshire, HG4 1PB",HG4 1PB,54.13544,-1.52241,2016-06-05,5500,CS,Shop and Premises
N08022400400,100052009579,"40, Kirkgate, Ripon, North Yorkshire, HG4 1PB",HG4 1PB,54.13544,-1.52241,2018-05-04,6700,CS,SHOP AND PREMISES
N08022400404,100052009579,"Matrix Night Club, 40, Kirkgate, Ripon, North Yorkshire, HG4 1PB",HG4 1PB,54.13544,-1.52241,2017-03-24,21750,CL2,Nightclub and Premises
N08022400411,,"41/42, Kirkgate, Ripon, North Yorkshire, HG4 1PB",HG4 1PB,54.13544,-1.52241,2016-08-17,13250,CS,Shop and Premises
N08022400440,100052009609,"44, Kirkgate, Ripon, North Yorkshire, HG4 1BP",HG4 1BP,54.13648,-1.523,2018-04-01,10000,CO,OFFICES AND PREMISES
N08022409030,010003029856,"The Old Granary, Unicorn Yard, Ripon, North Yorkshire, HG4 1PD",HG4 1PD,54.13541,-1.52154,1995-04-01,1350,IF3,WORKSHOP AND PREMISES
N08022409040,,"The Old Coach House, Royal Oak Yard, R/O 38, Kirkgate, Ripon, North Yorkshire, HG4 1PB",HG4 1PB,54.13544,-1.52241,2018-03-05,5500,CO,OFFICES AND PREMISES
N08022409230,010013656487,"Hemingways, 23, Kirkgate, Ripon, North Yorkshire, HG4 1PB",HG4 1PB,54.13544,-1.52241,2007-07-27,22750,CO,Offices and Premises
N08024009022,,"First Floor, Queens House, Lavender Alley, Ripon, North Yorkshire, HG4 1EB",HG4 1EB,54.13718,-1.52347,2016-04-01,6400,CO,Offices and Premises
N08024009023,,"Second Floor, Queens House, Lavender Alley, Ripon, North Yorkshire, HG4 1EB",HG4 1EB,54.13718,-1.52347,2016-12-25,4850,CO,Offices and Premises
N08024200255,,"15/25, Lead Lane, Ripon, North Yorkshire, HG4 2PF",HG4 2PF,54.12561,-1.52899,2014-11-24,17000,CS,shop and premises
N08024200290,,"27, Lead Lane, Ripon, North Yorkshire, HG4 2PF",HG4 2PF,54.12561,-1.52899,2011-01-30,6400,CS,SHOP AND PREMISES
N08024209050,100052210354,"Moorside Junior School, Lead Lane, Ripon, North Yorkshire, HG4 2NE",HG4 2NE,54.1252,-1.53162,1995-04-01,24500,EL,School and Premises
N08025689010,100052210356,"Low Common, Little Studley Road, Ripon, North Yorkshire, HG4 1HD",HG4 1HD,54.14439,-1.52435,1995-04-01,1325,CP,CAR PARK AND PREMISES
N08026209110,,"Lockside Caravan Park, Littlethorpe Road, Ripon, North Yorkshire, HG4 1TZ",HG4 1TZ,54.12705,-1.50869,2010-04-01,5250,CC3,Caravan & Pitch and Premises
N08026409050,100052009615,"36a, Locker Lane, Ripon, North Yorkshire, HG4 1SS",HG4 1SS,54.13091,-1.52643,1995-04-01,1025,IF3,WORKSHOP AND PREMISES
N08027020020,,"Unit 2, The Coach House, Phoenix Business Centre, Low Mill Road, Ripon, HG4 1NA",HG4 1NA,54.13405,-1.51764,2018-06-20,6900,CO,"Offices, Workshop and Premises"
N08027020025,,"Unit 3 The Coach House, Phoenix Business Park, Low Mill Road, Ripon, North Yorkshire, HG4 1NQ",HG4 1NQ,54.13402,-1.51554,2017-05-28,3350,IF3,Workshop and Premises
N08027610031,,"Units 1 & 3, Cathedral Units, Phoenix Business Centre, Low Mill Road, Ripon, HG4 1NA",HG4 1NA,54.13405,-1.51764,2016-11-29,8900,IF3,"Workshop, Showroom and Premises"
N08027610040,010003029862,"4, Cathedral Units, Phoenix Business Centre, Low Mill Road, Ripon, HG4 1NA",HG4 1NA,54.13405,-1.51764,2017-08-01,2750,IF3,WORKSHOP AND PREMISES
N08027610051,,"Unit 1 Low Mills, Phoenix Business Centre, Low Mill Road, Ripon, North Yorkshire, HG4 1NA",HG4 1NA,54.13405,-1.51764,2015-06-15,4750,IF3,Workshop and Premises
N08027610052,,"Unit 2 Low Mills, Phoenix Business Centre, Low Mill Road, Ripon, North Yorkshire, HG4 1NA",HG4 1NA,54.13405,-1.51764,2011-05-16,5300,IF3,Workshop and Premises
N08027610053,,"Unit 3 Low Mills, Phoenix Business Centre, Low Mill Road, Ripon, North Yorkshire, HG4 1NA",HG4 1NA,54.13405,-1.51764,2019-04-01,3950,IF3,Offices and Premises
N08027610057,,"Unit 4, Low Mills, Phoenix Business Centre, Low Mill Road, Ripon, HG4 1NA",HG4 1NA,54.13405,-1.51764,2013-05-17,3650,IF3,Office and Premises
N08027610058,,"Unit 5, Low Mills, Phoenix Business Centre, Low Mill Road, Ripon, HG4 1NA",HG4 1NA,54.13405,-1.51764,2012-11-01,4800,IF3,Workshop and Premises
N08027610061,010003029863,"Storage Unit, Low Mills, Phoenix Business Centre, Low Mill Road, Ripon, HG4 1NA",HG4 1NA,54.13405,-1.51764,2006-02-15,630,CW3,STORE AND PREMISES
N08027610068,010003029864,"Unit 5, Cathedral Units, Phoenix Business Centre, Low Mill Road, Ripon, HG4 1NA",HG4 1NA,54.13405,-1.51764,1999-07-02,3700,IF3,WORKSHOP AND PREMISES
N08027610069,010003029865,"Unit 6, Cathedral Units, Phoenix Business Centre, Low Mill Road, Ripon, HG4 1NA",HG4 1NA,54.13405,-1.51764,2007-05-10,3800,IF3,WORKSHOP AND PREMISES
N08027610073,,"Unit 7 Cathedral Units, Phoenix Business Centre, Low Mill Road, Ripon, HG4 1NA",HG4 1NA,54.13405,-1.51764,2016-07-01,3200,IF3,Workshop and Premises
N08027610080,,"Unit 8 Cathedral Units, Phoenix Business Centre, Low Mill Road, Ripon, HG4 1NA",HG4 1NA,54.13405,-1.51764,2010-06-01,4700,IF3,Offices and Premises
N08027620010,010003029868,"Unit 1, Old Coach House, Phoenix Business Centre, Low Mill Road, Ripon, HG4 1NA",HG4 1NA,54.13405,-1.51764,2016-03-24,3100,IF3,WORKSHOP AND PREMISES
N08027620012,,"Unit 2 Cathedral Units, Phoenix Business Centre, Low Mill Road, Ripon, North Yorkshire, HG4 1NS",HG4 1NS,54.13419,-1.5165,2010-02-08,4100,CW,Warehouse and Premises
N08027620040,010003029872,"Units 4 & 5, Coach House, Phoenix Business Centre, Low Mill Road, Ripon, HG4 1NQ",HG4 1NQ,54.13402,-1.51554,2012-12-03,6200,IF3,WORKSHOP AND PREMISES
N08027620061,,"Unit 6, The Coach House, Phoenix Business Centre, Low Mill Road, Ripon, HG4 1NS",HG4 1NS,54.13419,-1.5165,2019-02-01,3600,IF3,Workshop and Premises
N08027620071,,"Unit 7, The Coach House, Phoenix Business Centre, Low Mill Road, Ripon, HG4 1NS",HG4 1NS,54.13419,-1.5165,2017-06-30,3150,IF3,Workshop and Premises
N08027620081,,"Unit 8, The Coach House, Phoenix Business Centre, Low Mill Road, Ripon, HG4 1NS",HG4 1NS,54.13419,-1.5165,2018-11-22,3550,IF3,Workshop and Premises
